Date,Temperatura,Humedad
22-06-2021 18:24:24,25.62,50
22-06-2021 18:25:10,26.57,98
22-06-2021 18:25:56,27.63,50
22-06-2021 18:28:08,27.26,46
22-06-2021 18:32:25,26.04,47
22-06-2021 18:39:28,24.99,48
22-06-2021 18:45:51,24.6,48
22-06-2021 18:46:18,24.55,48
22-06-2021 18:50:43,23.35,49
22-06-2021 19:01:23,23.41,48
22-06-2021 19:08:23,23.23,48
22-06-2021 19:09:23,23.32,48
22-06-2021 19:13:25,23.4,49
22-06-2021 19:56:05,25.65,47
22-06-2021 19:56:55,25.67,47
22-06-2021 19:59:16,25.69,47
22-06-2021 19:59:48,26.01,99
22-06-2021 20:00:09,26.41,67
22-06-2021 20:00:34,26.87,99
22-06-2021 20:01:08,27.59,54
22-06-2021 20:01:56,28.32,83
22-06-2021 21:03:49,23.94,50
22-06-2021 22:03:47,24.39,49
22-06-2021 23:03:46,23.99,49
23-06-2021 00:03:47,23.6,50
23-06-2021 00:11:15,23.66,50
23-06-2021 13:53:11,23.75,49
23-06-2021 13:56:11,23.81,49
23-06-2021 13:58:35,23.83,49
23-06-2021 13:59:36,23.81,49
23-06-2021 14:01:08,23.82,49
23-06-2021 14:03:34,23.89,49
23-06-2021 14:20:15,23.96,49
23-06-2021 14:22:57,23.99,49
23-06-2021 14:34:01,24.02,49
23-06-2021 17:01:28,23.69,52
23-06-2021 17:06:13,23.86,52
23-06-2021 18:12:39,24.89,49
23-06-2021 18:44:12,25.06,48
23-06-2021 19:44:33,24.93,47
23-06-2021 20:44:30,25.01,46
23-06-2021 21:44:31,24.79,46
23-06-2021 22:44:30,25.27,43
23-06-2021 23:05:24,25.19,43
23-06-2021 23:05:52,25.19,43
23-06-2021 23:07:22 ,25.18,43
23-06-2021 23:16:16,25.22,43
23-06-2021 23:16:34,25.19,43
23-06-2021 23:18:36,25.2,43
23-06-2021 23:19:23,25.19,42
23-06-2021 23:20:37,25.18,43
23-06-2021 23:20:57,25.18,42
23-06-2021 23:23:28,25.18,42
23-06-2021 23:23:43,25.18,42
23-06-2021 23:24:29,25.19,42
23-06-2021 23:24:43,25.22,42
23-06-2021 23:26:23,25.21,42
23-06-2021 23:26:44,25.21,42
23-06-2021 23:27:43,25.23,42
23-06-2021 23:29:04,25.21,42
23-06-2021 23:29:44,25.23,42
23-06-2021 23:39:22,25.21,42
24-06-2021 00:02:11,25.15,41
24-06-2021 00:03:59,25.12,41
24-06-2021 00:11:21,25.12,41
24-06-2021 01:07:52,24.44,44
07-07-2021 13:01:18,25.41,38
07-07-2021 13:02:32,25.51,36
07-07-2021 13:03:51,25.68,36
07-07-2021 13:15:27,26.49,35
07-07-2021 13:46:43,27.02,34
07-07-2021 15:01:06,27.83,33
07-07-2021 16:06:50,26.73,36
07-07-2021 18:22:11,26.71,36
07-07-2021 19:44:18,27.61,35
07-07-2021 21:14:59,27.98,34
07-07-2021 23:04:55,27.46,32
07-07-2021 23:50:40,26.08,32
07-07-2021 23:53:08,25.88,32
07-07-2021 23:58:58,25.49,32
08-07-2021 00:01:28,25.33,32
09-07-2021 19:51:11,25.35,47
09-07-2021 20:18:05,25.58,45
12-07-2021 11:20:25,25.75,42
16-07-2021 15:42:08,26.49,42
16-07-2021 15:42:20,26.49,42
16-07-2021 15:43:07,26.53,42
16-07-2021 15:43:54,26.51,42
16-07-2021 15:54:52,26.77,42
16-07-2021 15:56:32,26.76,42
16-07-2021 15:58:10,28.42,47
16-07-2021 15:59:04,29.48,71
16-07-2021 16:15:17,28.01,41
16-07-2021 16:20:22,27.92,41
16-07-2021 16:22:16,29.69,75
16-07-2021 16:23:30,30.07,43
16-07-2021 16:24:18,30.4,70
16-07-2021 16:24:56,30.66,43
16-07-2021 16:25:41,31.1,73
16-07-2021 16:55:02,27.58,42
16-07-2021 17:06:20,27.49,43
16-07-2021 17:07:34,27.47,43
16-07-2021 17:07:48,27.44,43
16-07-2021 17:09:34,27.48,43
16-07-2021 17:10:29,28.49 ,70
16-07-2021 17:11:29,29.56,85
16-07-2021 17:12:17,30.06,45
16-07-2021 17:15:34,29.59,41
16-07-2021 18:27:38,27.5,41
16-07-2021 19:28:08,27.77,40
16-07-2021 20:27:56,27.99,42
20-07-2021 18:17:25,29.45,41
21-07-2021 20:16:44,29.15,37
23-07-2021 10:11:27,27.07,33
23-07-2021 10:13:00,27.08,34
23-07-2021 11:09:05,26.82,36
23-07-2021 11:43:39,27.09,34
23-07-2021 13:22:57,27.92,35
23-07-2021 13:23:29,27.89,35
31-07-2021 20:14:23,25.32,42
31-07-2021 20:28:28,25.24,41
31-07-2021 20:38:15,25.24,41
31-07-2021 20:48:05,25.27,41
31-07-2021 20:58:22,25.34,41
31-07-2021 21:08:05,25.27 ,41
31-07-2021 21:18:09,25.27,41
31-07-2021 21:28:03,25.0,40
31-07-2021 21:38:07,24.99,41
31-07-2021 21:48:14,24.97,41
31-07-2021 21:58:05,24.97,41
31-07-2021 22:08:08,24.94,40
31-07-2021 22:18:03,24.84,38
31-07-2021 22:28:05,24.72,39
14-09-2021 15:14:00,22.32,61
14-09-2021 15:17:43,22.33,62
14-09-2021 15:18:50,22.36,62
14-09-2021 15:20:37,22.38,62
14-09-2021 15:24:39,22.45,62
14-09-2021 15:24:53,22.39,62
14-09-2021 15:52:23,22.26,62
14-09-2021 17:05:19,22.96,61
14-09-2021 17:19:15,22.31,63
14-09-2021 17:21:31,24.87,96
14-09-2021 18:19:26,22.43,62
14-09-2021 19:19:30,22.29,62
14-09-2021 20:19:30,22.2,63
14-09-2021 21:19:39,22.11,62
14-09-2021 22:19:35,22.01,64
14-09-2021 23:19:24,21.8,63
15-09-2021 00:20:20,21.94,63
15-09-2021 00:29:56,21.9,63
15-09-2021 00:41:00,21.9,63
15-09-2021 00:42:47,21.89,63
15-09-2021 00:43:34,21.9,63
18-10-2021 22:09:03,24.44,55
19-10-2021 18:52:57,24.96 ,55
06-11-2021 20:45:20,18.48,50
06-11-2021 20:47:34,18.48,50
06-11-2021 20:49:18,18.47,50
06-11-2021 20:50:18,18.49,50
06-11-2021 20:51:45,18.48,50
06-11-2021 20:52:31,18.5,50
06-11-2021 20:53:16,18.45,50
06-11-2021 20:54:24,18.49,50
06-11-2021 20:57:12,18.51,50
06-11-2021 20:59:16,18.49,50
06-11-2021 21:03:06,18.47,50
06-11-2021 21:06:55,18.48,50
06-11-2021 21:07:29,18.49,50
06-11-2021 21:11:13,18.47,50
